"","V1","V2"
"57","Ericaceae","Vaccinium corymbosum"
"58","Orobanchaceae","Seymeria cassioides"
"59","Poaceae","Dactyloctenium aegyptium"
"60","Iridaceae","Iris NA"
"61","Lycopodiaceae","Lycopodium NA"
"62","Sarraceniaceae","Sarracenia NA"
"63","Anacardiaceae","Rhus copallinum"
"64","Hypericaceae","Hypericum mutilum"
"65","Leguminosae","Rhynchosia reniformis"
"66","Poaceae","Eragrostis refracta"
"67","Poaceae","Andropogon ternarius"
"68","Apocynaceae","Asclepias NA"
"69","Aquifoliaceae","Ilex myrtifolia"
"70","Amaranthaceae","Chenopodium incisum"
"71","Asparagaceae","Echeandia flavescens"
"72","Compositae","Solidago velutina"
"73","Compositae","Cirsium wheeleri"
"74","Compositae","Pseudognaphalium macounii"
"75","Compositae","Artemisia ludoviciana"
"76","Compositae","Laennecia schiedeana"
"77","Compositae","Packera multilobata"
"78","Cyperaceae","Carex occidentalis"
"79","Iridaceae","Iris missouriensis"
"80","Leguminosae","Ottleya wrightii"
"81","Leguminosae","Lupinus argenteus"
"82","Leguminosae","Oxytropis lambertii"
"83","Leguminosae","Trifolium longipes"
"84","Leguminosae","Vicia americana"
"85","Pinaceae","Pinus ponderosa"
"86","Plantaginaceae","Linaria dalmatica"
"87","Poaceae","Muhlenbergia montana"
"88","Poaceae","Festuca arizonica"
"89","Poaceae","Elymus elymoides"
"90","Poaceae","Poa fendleriana"
"91","Poaceae","Muhlenbergia ramulosa"
"92","Polygonaceae","Polygonum douglasii"
"93","Rhamnaceae","Ceanothus fendleri"
"94","Rosaceae","Rosa woodsii"
"95","","Unidentified species"
"96","Apiaceae","Cymopterus lemmonii"
"97","Ranunculaceae","Thalictrum fendleri"
"98","Compositae","Antennaria parvifolia"
"99","Compositae","Achillea millefolium"
"100","Compositae","Erigeron divergens"
"101","Convolvulaceae","Ipomoea plummerae"
"102","Cyperaceae","Cyperus fendlerianus"
"103","Leguminosae","Astragalus humistratus"
"104","Onagraceae","Epilobium brachycarpum"
"105","Plantaginaceae","Penstemon virgatus"
"106","Poaceae","Bromus ciliatus"
"107","Poaceae","Blepharoneuron tricholepis"
"108","Polygonaceae","Eriogonum racemosum"
"109","Caryophyllaceae","Drymaria leptophylla"
"110","Rosaceae","Potentilla diversifolia"
"111","Rubiaceae","Houstonia wrightii"
"112","Boraginaceae","Nama dichotoma"
"113","Caryophyllaceae","Arenaria lanuginosa"
"114","Compositae","Hieracium fendleri"
"115","Compositae","Symphyotrichum falcatum"
"116","Compositae","Senecio eremophilus"
"117","Compositae","Taraxacum campylodes"
"118","Euphorbiaceae","Euphorbia serpyllifolia"
"119","Geraniaceae","Geranium caespitosum"
"120","Poaceae","Muhlenbergia wrightii"
"121","Rosaceae","Potentilla crinita"
"122","Scrophulariaceae","Verbascum thapsus"
