AccYear,AccNo,AccNoFull,ItemNo,TaxonName,Genus,Species,InfraType1,InfraName1,InfraType2,InfraName2,Family,ProvenanceCode,ContactCode,ContactNameFull,ItemLocationCode,ItemCoordLatDD,ItemCoordLongDD,ItemCoordX,ItemCoordY,ItemComment,AtrA_Garden_coll,PopNo,PopSpecNo,CollNo,CollDate,Collector,AccComment,CountryCode,CountryName,Subdiv1,Subdiv2,Locality,LocExtRef,Habitat,AltitudeFrom,AltitudeTo,AltitudeUnit,CoordLatDD,CoordLongDD,Datum,ItemType,ItemStatus,TaxonDistribution,OriginName,OriginRef,RecDate,Parent1TaxonName
1000,6287,10006287,A,Miscanthus sinensis,Miscanthus,sinensis,,,,,Poaceae,U,5885,Unknown Source,SW8-34,52.192658,0.125087,52.192658,0.125087,,,,,,,,Notes: Tribe 13 Andropogoneae. Accession of plant of unknown source by P. Atkinson 10 May 2005. .,,,,,,,,,,,,,,Planting,Inspected,E Asia,Unknown Source,,,
1000,6288,10006288,A,Panicum virgatum,Panicum,virgatum,,,,,Poaceae,U,5885,Unknown Source,SW8-34,52.192783,0.124969,52.192783,0.124969,,,,,,,,Notes: Tribe 12 Paniceae. Accession of plant of unknown origin by P. Atkinson 10 May 2005. .,,,,,,,,,,,,,,Planting,Inspected,N & S America,Unknown Source,,,
1000,6289,10006289,A,Pennisetum orientale,Pennisetum,orientale,,,,,Poaceae,U,5885,Unknown Source,SW8-34,52.192648,0.125112,52.192648,0.125112,,,,,,,,Notes: Said by Tutin to have been det by Hubbard at H. G-C's request. Accession of plant of unknown source by P. Atkinson 11 May 2005. .,,,,,,,,,,,,,,Planting,Inspected,N Africa to SW Asia,Unknown Source,,,
1000,6290,10006290,A,Phalaris arundinacea,Phalaris,arundinacea,,,,,Poaceae,U,5885,Unknown Source,SW8-33,52.192731,0.125121,52.192731,0.125121,,,,,,,,"Notes: 1st date:1956. Distribution:Europe,Asia,N.America,S.Africa. Accession of plant of unknown source by P. Atkinson 11 May 2005. .",,,,,,,,,,,,,,Planting,Inspected,N & S temp. regions,Unknown Source,,,
1000,6450,10006450,A,Saccharum ravennae,Saccharum,ravennae,,,,,Poaceae,U,5885,Unknown Source,SW8-34,52.19274,0.125004,52.19274,0.125004,,,,,,,,Notes: Tribe 13 Andropogoneae. Accession of plant of unknown source by P. Atkinson 25 July 2006. .,,,,,,,,,,,,,,Planting,Inspected,N. Africa Mediterranean,Unknown Source,,,
1957,755,19570755,A,Molinia caerulea,Molinia,caerulea,,,,,Poaceae,G,6017,Botanic Garden of Warsaw University,SW8-34,52.19281,0.124963,52.19281,0.124963,,,,,,,,Notes: Tribe 2 Festuceae.,,,,,,,,,,,,,,Planting,Inspected,"Eurasia, N America",Warsaw,,,
1957,116,19570116,A,Bothriochloa ischaemum,Bothriochloa,ischaemum,,,,,Poaceae,G,6197,"Botanická Záhrada - Univerzity Pavla Jozefa Šafárika, Univerzity Pavla Jozefa Šafárika, Kosice, Slovakia",SW8-34,52.192698,0.125065,52.192698,0.125065,,,,,,,,Notes: Came as Schedonnardus paniculatus.,,,,,,,,,,,,,,Planting,Inspected,"Eurasia, NW Africa",Kosice,,1957-02,
1957,1981,19571981,A,Sorghastrum nutans,Sorghastrum,nutans,,,,,Poaceae,W,MADISON,MADISON,SW8-34,52.19278,0.125,52.19278,0.125,,,,,,,,Notes: Tribe 13. Andropogoneae.,,,,,,,,,,,,,,Planting,Inspected,N America,MADISON,,,
1962,188,19620188,A,Tripsacum dactyloides,Tripsacum,dactyloides,,,,,Poaceae,G,MANGELSDORF,MANGELSDORF,SW8-34,52.192781,0.125037,52.192781,0.125037,,,,,,,,Notes: Tribe 14 Tripsaceae  n=18.,,,,,,,,,,,,,,Planting,Inspected,Eastern N America,MANGELSDORF,,,
1963,153,19630153,A,Spartina patens,Spartina,patens,,,,,Poaceae,G,6256,Harry F. Ahles,SW8-34,52.192656,0.125138,52.192656,0.125138,,,,,,,,Notes: Tribe 7 Chlorideae.,,,,,,,,,,,,,,Planting,Inspected,Eastern N America,Ahles H.F.,,1963-04,
1964,371,19640371,A,Pennisetum alopecuroides,Pennisetum,alopecuroides,,,,,Poaceae,G,SUNNINGDALE,SUNNINGDALE,SW8-34,,,,,,,,,,,,Notes: Tribe 12 Paniceae.,,,,,,,,,,,,,,Planting,Inspected,China,SUNNINGDALE,,,
1965,2926,19652926,B,Molinia caerulea 'Variegata',Molinia,caerulea,,,,,Poaceae,G,5952,L.M. Mason,SW8-34,52.19286,0.124991,52.19286,0.124991,,,,,,,,Notes: divided from HIB stock.,,,,,,,,,,,,,,Planting,Inspected,Garden origin,Mason L.M.,,,
1967,281,19670281,A,Panicum clandestinum,Panicum,clandestinum,,,,,Poaceae,W,GILMOUR,GILMOUR,SW8-34,52.192757,0.124994,52.192757,0.124994,Death reason: Unable to locate.,,,,,,,"Notes: Apparently correct, though queried by Alan Leslie. Tribe 12.",USA,United States of America,,,Pennsylvania: Cook Forest,,,,,,,,,Planting,Inspected,Eastern N America,GILMOUR,,,
