TaxonName,Family,AccNoFull,ItemNo,ItemLocationCode,ItemStatus,ItemStatusDate,Lifeform,Longevity,Group
Pinus sylvestris,Pinaceae,19770206,A,SW17,Seen,4/21/2020,Tree,Perennial,Dicot
Poa pratensis,Poaceae,20172645,A,NE6-1,Moved,6/28/2018,Herbaceous,Perennial,Grass
Podophyllum peltatum,Berberidaceae,20100460,A,NW6-2,Divided,9/11/2020,Herbaceous,Perennial,Dicot
Podophyllum peltatum,Berberidaceae,20100460,B,NW28-5,Moved,9/6/2021,Herbaceous,Perennial,Dicot
Polemonium reptans,Polemoniaceae,20130516,A,NE10-3,Inspected,4/19/2017,Herbaceous,Perennial,Dicot
Polygonum virginianum,Polygonaceae,20010513,A,NW6-3,Moved,10/5/2016,Herbaceous,Perennial,Dicot
Polygonum virginianum,Polygonaceae,20010513,B,NW6-5,Inspected,1/28/2011,Herbaceous,Perennial,Dicot
Polytrichastrum formosum,Polytrichaceae,20192046,A,NW15-13.1,Planted,11/13/2019,Herbaceous,Perennial,Moss
Polytrichastrum formosum,Polytrichaceae,20192046,B,NW26-11,Inspected,11/6/2019,Herbaceous,Perennial,Moss
Populus tremula,Salicaceae,19750143,A,NW7,Seen,3/26/2020,Tree,Perennial,Dicot
Populus tremula,Salicaceae,19860108,A,NW7,Seen,3/26/2020,Tree,Perennial,Dicot
Populus tremula,Salicaceae,19860108,B,NW7,Seen,3/26/2020,Tree,Perennial,Dicot
Populus tremula,Salicaceae,19860108,C,NW7,Seen,1/10/2020,Tree,Perennial,Dicot
Pteridium aquilinum,Dennstaedtiaceae,10007067,A,NW8-9,Inspected,12/7/2011,Herbaceous,Perennial,Pteridophyte
Quercus ilicifolia,Fagaceae,20190963,A,NW26-13,Seen,5/20/2021,Tree,Perennial,Dicot
Quercus marilandica,Fagaceae,20190968,A,NW26-13,Seen,5/20/2021,Tree,Perennial,Dicot
Quercus muehlenbergii,Fagaceae,20190970,A,NW26-13,Seen,5/20/2021,Tree,Perennial,Dicot
Quercus muehlenbergii,Fagaceae,20190971,A,NW26-13,Seen,5/20/2021,Tree,Perennial,Dicot
Quercus rubra,Fagaceae,20190955,A,NW26-13,Seen,5/20/2021,Tree,Perennial,Dicot
Quercus rubra,Fagaceae,20190976,A,NE20,Planted,5/20/2021,Tree,Perennial,Dicot
Quercus velutina,Fagaceae,19900938,A,NW17,Seen,3/27/2020,Tree,Perennial,Dicot
Quercus velutina,Fagaceae,20190985,A,NW26-13,Seen,8/19/2021,Tree,Perennial,Dicot
Ratibida columnifera,Asteraceae,20060110,A,SW9-27,Inspected,9/19/2013,Herbaceous,Perennial,Dicot
Ratibida columnifera,Asteraceae,20140056,B,SW9-27,Planted,4/26/2019,Herbaceous,Perennial,Dicot
Rhus copallinum,Anacardiaceae,19940527,A,NW6-12,Seen,3/26/2020,Tree,Perennial,Dicot
Rosa arkansana,Rosaceae,19800112,A,SE15-4,Inspected,6/25/2007,Woody Shrub,Perennial,Dicot
Rosa woodsii,Rosaceae,20191134,A,NW26-11,Repotted,7/18/2019,Woody Shrub,Perennial,Dicot
Rudbeckia hirta,Asteraceae,19940582,A,SE5-2,Inspected,9/28/2016,Herbaceous,Perennial,Dicot
Rudbeckia hirta,Asteraceae,20100005,A,SW9-27,Planted,6/8/2018,Herbaceous,Perennial,Dicot
Rumex acetosella,Polygonaceae,19990391,A,SW6-5,Inspected,8/6/2019,Herbaceous,Perennial,Dicot
Sanguinaria canadensis,Papaveraceae,10007068,A,NW6-1,Inspected,6/25/2007,Herbaceous,Perennial,Dicot
Sanguinaria canadensis,Papaveraceae,196032312,A,NW8-10,Inspected,5/2/2018,Herbaceous,Perennial,Dicot
Sarracenia flava,Sarraceniaceae,20160691,A,NW15-9,Inspected,7/19/2021,Herbaceous,Perennial,Dicot
Sarracenia flava,Sarraceniaceae,20160692,A,NW15-9,Inspected,7/19/2021,Herbaceous,Perennial,Dicot
Schizachyrium scoparium,Poaceae,10006173,A,SW8-34,Inspected,9/18/2019,Herbaceous,Perennial,Grass
Schizachyrium scoparium,Poaceae,10006173,E,NW2-3,Planted,3/12/2020,Herbaceous,Perennial,Grass
